,date,title,description,url,source
0,2025-05-27T19:15:18Z,Tesla continues to circle the drain,"We don’t typically report on monthly sales data for one car company in one market, but this one seems particularly notable given all that’s going on in the world. In another sign that Elon Musk’s company is in a real tough spot, Tesla is getting absolutely de…",https://www.theverge.com/news/675058/tesla-europe-april-sales-musk-doge-brand-crisis,The Verge
1,2025-05-22T20:59:32Z,Xiaomi’s new PU7 spells trouble for Tesla in China,"Xiaomi unveiled its hotly anticipated PU7 electric SUV in China today, in the latest potential blow to Tesla’s position in the world’s hottest EV market. The electronics giant says the PU7 will get up to 518 miles of range on certain trims and accelerate from…",https://www.theverge.com/news/673023/xiaomi-pu7-ev-suv-china-tesla-model-y,The Verge
2,2025-05-23T07:20:28Z,Xiaomi’s new YU7 spells trouble for Tesla in China,"Xiaomi unveiled its hotly anticipated YU7 electric SUV in China today, in the latest potential blow to Tesla’s position in the world’s hottest EV market. The electronics giant says the YU7 will get up to 518 miles of range on certain trims and accelerate from…",https://www.theverge.com/news/673023/xiaomi-yu7-ev-suv-china-tesla-model-y,The Verge
3,2025-05-22T01:18:50Z,What if Tesla made a Slate-like EV instead of the Cybertruck?,"At last month's rapturously received Slate debut, it took an executive's quip that ""Slate"" and ""Tesla"" use the same 5 letters to shift my brain into high gear. I've covered the EV world for 15-plus years, and I virtually never spend time on counterfactuals. T…",https://www.theverge.com/tesla/672120/slate-truck-tesla-cybertruck-what-if,The Verge
4,2025-05-21T00:00:52Z,Elon Musk says he isn't ruling out merging xAI and Tesla,"Tesla CEO Elon Musk said ""anything is possible"" when asked about merging xAI and Tesla, but said there are no plans to do so.",https://www.businessinsider.com/elon-musk-wont-rule-out-merging-xai-tesla-2025-5,Business Insider
5,2025-05-21T16:38:32Z,Lidar maker Luminar lays off more workers following CEO exit,"Luminar, a company that develops lidar systems for autonomous vehicles, started laying off workers just one day after its founder and CEO, Austin Russell, abruptly resigned. In a regulatory filing spotted by TechCrunch, the company said it began carrying out …",https://www.theverge.com/news/671804/luminar-lidar-layoffs-ceo-exit,The Verge
6,2025-05-27T20:19:39Z,Why Tesla sales are plummeting in Europe,"Tesla sales are plummeting in Europe. Meanwhile, European EVs are thriving. What's behind the drop?",https://www.businessinsider.com/why-tesla-sales-are-plummeting-in-europe-2025-5,Business Insider
7,2025-05-22T10:14:34Z,BYD overtakes Tesla in Europe for the first time. That's more bad news for Elon Musk.,"Chinese EV giant BYD sold more electric models than Tesla in Europe for the first time in April, as consumer interest in Elon Musk's automaker collapsed.",https://www.businessinsider.com/byd-tesla-sales-europe-elon-musk-ev-china-2025-5,Business Insider
8,2025-05-23T20:16:57Z,People are buying up used Teslas as the average sale price dips,"Cox Automotive's director of industry insights told BI that while Tesla has led the EV market for several years, the brand is facing an aging lineup.",https://www.businessinsider.com/tesla-used-car-sales-increase-average-sale-price-2025-5,Business Insider
9,2025-05-20T22:23:29Z,Elon Musk says there's 'no need' for Tesla to buy Uber since Tesla owners could one day join its autonomous fleet,"Elon Musk said he has no plans to purchase the ride share app, Uber, saying Tesla owners will be able to lend their car to Tesla's autonomous fleet.",https://www.businessinsider.com/no-need-tesla-buy-uber-elon-musk-2025-5,Business Insider
10,2025-05-21T05:30:06Z,Elon Musk went on a media blitz. Here are 5 takeaways from his interviews.,"In media interviews on Tuesday, Musk reaffirmed his commitment to Tesla and said he'd be spending less on politics in the future.",https://www.businessinsider.com/5-takeaways-from-elon-musk-media-blitz-2025-5,Business Insider
11,2025-05-24T20:07:16Z,Elon Musk says he's getting back to business at X and Tesla: 'I must be super focused',"Elon Musk is turning his attention back to his companies, including X, xAI, and Tesla, the tech giant said in a Saturday post on X.",https://www.businessinsider.com/elon-musk-tesla-x-starship-business-doge-2025-5,Business Insider
12,2025-05-22T08:30:25Z,Former Elon Musk employees tell BI what he brings to the table as a leader — and whether that's what Tesla needs right now,DOGE's federal government cost-cutting made Tesla a target for protests and vandalism — but now Musk is focusing his attention back on the EV maker.,https://www.businessinsider.com/elon-musk-stepping-back-doge-tesla-ceo-ev-2025-5,Business Insider
13,2025-05-25T18:06:23Z,Scott Galloway says Musk's work at DOGE fueled 'one of the greatest brand destructions' of all time,"During a recent Tesla earnings call, Musk said he planned to step back from his government work and refocus on his businesses.",https://www.businessinsider.com/elon-musk-tesla-doge-brand-scott-galloway-2025-5,Business Insider
14,2025-05-25T08:00:02Z,Elon Musk dreams of thousands of robots working in factories. Tesla's first Optimus lead has doubts.,"Chris Walti, the former team lead for Tesla's robot, said humanoid robots like Optimus were the wrong option for factory work.",https://www.businessinsider.com/teslas-first-optimus-lead-doubts-about-elon-musks-robot-dream-2025-5,Business Insider
15,2025-05-20T03:36:31Z,Tesla battery supplier CATL pops in its first day of Hong Kong trading,"CATL, the world's largest battery maker, rose 13% in its Hong Kong trading debut on Tuesday.",https://www.businessinsider.com/tesla-supplier-catl-pops-hong-kong-offering-trading-stock-price-2025-5,Business Insider
16,2025-05-20T22:25:07Z,Elon Musk says Tesla robotaxis will be geo-fenced and avoid some intersections after being asked about FSD running a red light,Elon Musk said Tesla's robotaxis will avoid certain intersections in Austin after being asked about a BI report that showed FSD running a red light.,https://www.businessinsider.com/elon-musk-tesla-robotaxi-austin-geofenced-intersections-fsd-red-light-2025-5,Business Insider
17,2025-05-21T03:30:46Z,Here's what Elon Musk said about Tesla robotaxi and Optimus during his media blitz,Elon Musk went on a media blitz to share plans on new robotics benchmarks and reiterate his commitment to his companies.,https://www.businessinsider.com/what-elon-musk-said-about-robotics-robotaxi-optimus-media-blitz-2025-5,Business Insider
18,2025-05-22T14:22:58Z,Xiaomi's 'stunning' new YU7 is the latest threat to Tesla in China,"Xiaomi unveiled its second car, the YU7, in Beijing on Thursday. The electric SUV is set to compete directly with Tesla's best-selling Model Y in China.",https://www.businessinsider.com/xiaomi-yu7-new-ev-tesla-threat-china-elon-musk-2025-5,Business Insider
19,2025-05-26T09:28:01Z,This founder wants to create the Tesla of bulldozers. Here's the 32-ton prototype.,"Lumina founder Ahmed Shubber built the first prototype of his startup's EV bulldozer called Moonlander. The bulldozer will be autonomous, he said.",https://www.businessinsider.com/lumina-tesla-of-ev-autonomous-bulldozer-ahmed-shubber-2025-5,Business Insider
20,2025-05-26T13:09:26Z,BYD launches attempt to crush Tesla in China,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_2e15770a-bc40-438e-9f7f-cf3902151969,Yahoo Entertainment
21,2025-05-21T07:45:58Z,Elon Musk says he will still be dropping in on the White House 'for a couple days every few weeks',"Musk said he will be ""helpful where I can be helpful.""",https://www.businessinsider.com/elon-musk-still-drop-in-white-house-now-and-then-2025-5,Business Insider
22,2025-05-22T16:57:59Z,DOGE Used Meta AI Model to Review Emails From Federal Workers,DOGE tested and used Meta’s Llama 2 model to review and classify responses from federal workers to the infamous “Fork in the Road” email.,https://www.wired.com/story/doge-used-meta-ai-model-review-fork-emails-from-federal-workers/,Wired
23,2025-05-21T11:00:16Z,Musk under fire after misleading policy apparently deceived Tesla customers: 'I don't want to be associated with that anymore',It could discourage drivers from making their next car an EV.,https://finance.yahoo.com/news/musk-under-fire-misleading-policy-110016226.html,Yahoo Entertainment
24,2025-05-26T09:36:12Z,BYD just fired another shot in China's EV price war — and investors are worried,Shares in some of Tesla's biggest Chinese rivals fell on Monday after BYD's price cuts fueled fears over the country's brutally competitive EV sector.,https://www.businessinsider.com/byd-price-cuts-chinese-ev-makers-stock-prices-geely-tesla-2025-5,Business Insider
25,2025-05-20T14:00:09Z,Zoox's Self-Driving Test Fleet Is Coming to Atlanta,"It's the Amazon-owned company's seventh test market, with plans to start autonomous driving there this summer.",https://www.cnet.com/roadshow/news/zooxs-self-driving-test-fleet-is-coming-to-atlanta/,CNET
26,2025-05-21T17:12:22Z,Steve Bannon says 'everything changed' for Musk after Trump publicly denied that the CEO would receive a secret China briefing,"Bannon, a former White House chief strategist during President Trump's first term, has long been a critic of Musk and other tech executives.",https://www.businessinsider.com/steve-bannon-musk-trump-china-pentagon-briefing-doge-changes-2025-5,Business Insider
27,2025-05-27T21:14:41Z,Tesla may have had a rough first quarter but sales show it still leads the EV game,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0d59fc92-b80d-4f21-bcd4-6943a19f2f4a,Yahoo Entertainment
28,2025-05-27T19:13:00Z,How To Watch SpaceX's Next Starship Test Flight on Tuesday,"This is Starship's third test flight this year, and the ninth flight overall since SpaceX first launched the craft in 2023.",https://www.cnet.com/science/space/how-to-watch-spacexs-next-starship-test-flight-on-tuesday/,CNET
29,2025-05-24T15:00:54Z,Tesla vs. Waymo: The battle of the robotaxis,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1d23634e-38ee-4476-a3bf-80a33e22a6ef,Yahoo Entertainment
30,2025-05-20T16:03:00Z,Fund manager has shocking Elon Musk and Tesla prediction,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_abec06ef-0ecc-43a5-a920-f288bef15f74,Yahoo Entertainment
31,2025-05-22T15:42:58Z,Kraken to allow trading of tokenized versions of Apple and other popular stocks,"If you love Apple and you love crypto, good news: cryptocurrency exchange Kraken is preparing to let users trade tokenized versions of popular stocks like Apple, Tesla, and Nvidia. Except if you’re in the U.S., that is.



 more…",https://9to5mac.com/2025/05/22/kraken-to-allow-trading-of-tokenized-versions-of-apple-stocks/,9to5Mac
32,2025-05-23T20:12:57Z,Trump Struggles to Silence His Ringing iPhone During Press Conference,The president isn't the most tech-savvy fascist around.,https://gizmodo.com/trump-struggles-to-silence-his-ringing-iphone-during-press-conference-2000606714,Gizmodo.com
33,2025-05-20T17:45:51Z,"Elon Musk, Trump’s Biggest 2024 Donor, Says He Plans to Cut Back Political Spending","Elon Musk, who spent over $250 million on Trump’s campaign, says he’ll reduce political spending.",https://time.com/7287098/elon-musk-trump-political-spending/,Time
34,2025-05-27T17:08:00Z,Kia EV Truck: Here's Everything We Know So Far About the New Electric Pickup,Looking for an electric pickup truck? A new one from Kia will soon be available in the US.,https://www.cnet.com/home/electric-vehicles/kia-ev-truck-everything-we-know-so-far-about-the-new-electric-pickup-coming-soon/,CNET
35,2025-05-25T13:17:09Z,"Why the creator of 'Succession' says he rushed to release 'Mountainhead,' a new satire about tech bro billionaires","""Mountainhead,"" set to be released on May 31, sees a group of tech bro billionaires meet as news of an international crisis spreads.",https://www.businessinsider.com/succession-creator-rushed-to-release-mountainhead-tech-bro-satire-2025-5,Business Insider
36,2025-05-21T21:45:00Z,Elon Musk trying to 'minimize' reality of Tesla sales hit: Investor,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1ab4ef85-12d3-4a40-adc8-f20d3f623bbf,Yahoo Entertainment
37,2025-05-20T17:33:28Z,Elon Musk Says He Isn't Leaving Tesla Anytime Soon,The Tesla CEO says he's committed to staying on as the head of the company for at least another five years.,https://www.jalopnik.com/1864919/elon-musk-isnt-leaving-tesla/,Jalopnik
38,2025-05-20T19:02:05Z,Elon Musk bashes Bill Gates' comments on USAID: 'Show us any evidence',Elon Musk challenged Bill Gates' claims that gutting USAID would result in millions of deaths.,https://www.businessinsider.com/elon-musk-responds-bill-gates-over-usaid-cuts-2025-5,Business Insider
39,2025-05-27T08:57:01Z,Waymo shows how radar and lidar help its robotaxis see what cameras can't,"Waymo's sensor suite allows its robotaxis to see pedestrians in ways cameras may not be able to detect, co-CEO Dmitri Dolgov said.",https://www.businessinsider.com/waymo-robotaxi-lidar-sensor-versus-cameras-vision-only-2025-5,Business Insider
40,2025-05-26T10:11:01Z,Elon Musk says he's stepping back from DOGE and politics. That doesn't mean he's disappearing from DC.,"Despite Musk's apparent plans to step back from DOGE, he made several appearances in DC this week, including in the Oval Office and on Capitol Hill.",https://www.businessinsider.com/elon-musk-stick-around-despite-stepping-back-doge-2025-5,Business Insider
41,2025-05-22T14:41:00Z,China's BYD just overtook Tesla in Europe,"According to automotive business intelligence firm, JATO Dynamics, Chinese EV maker BYD (BYDDY) has now overtaken Tesla’s (TSLA) dominance in Europe. Read more...",https://qz.com/china-byd-overtakes-tesla-ev-sales-europe-1851781922,Quartz India
42,2025-05-20T01:53:27Z,World's biggest EV battery maker sees shares jump on debut,"CATL makes more than a third of all EV batteries sold worldwide and supplies carmakers like Tesla, VW and Toyota.",https://www.bbc.com/news/articles/c3d4k1derzgo,BBC News
43,2025-05-21T02:27:02Z,Billionaire Man-Child Elon Musk Gives His Most Petulant Interview to Date,"Is it good when a defense contractor talks about the ""cleansing function"" of war?",https://gizmodo.com/billionaire-man-child-elon-musk-gives-his-most-petulant-interview-to-date-2000604920,Gizmodo.com
44,2025-05-25T09:00:02Z,"Meet Michael Grimes, the investment banker to Elon Musk who's running Trump's invest-in-America agenda","Michael Grimes made a name for himself as a banker to tech giants like Uber and Google. Now, he's running Trump's investment accelerator.",https://www.businessinsider.com/michael-grimes-morgan-stanley-investment-accelerator-trump-commerce-department-2025-3,Business Insider
45,2025-05-20T15:55:00Z,A Tesla battery supplier just had a huge IPO,"The world’s largest EV battery maker just shook the global financing stage with its IPO in Hong Kong. CATL, or Contemporary Amperex Technology Co., Ltd., saw its shares surge 16% on Tuesday, raising $4.6 billion in the world’s largest public offering so far t…",https://qz.com/catl-battery-ev-tesla-ipo-hong-kong-us-china-1851781511,Quartz India
46,2025-05-23T14:31:08Z,Tesla stock gets a huge price-target hike as Wedbush hails 'golden age of autonomous growth',"Tesla (TSLA) might have been in the news recently for all the wrong reasons, but that’s not stopping Wedbush from issuing one of Wall Street’s most bullish calls on the company in months.Read more...",https://qz.com/tesla-robotaxis-austin-fsd-autonomous-ai-1851782128,Quartz India
47,2025-05-20T18:12:36Z,Musk says he will do 'a lot less' political spending in the future,"Billionaire Elon Musk, the top donor in the 2024 election who helped boost President Donald Trump's path to victory, says he plans to scale back his political spending.",https://abcnews.go.com/US/musk-asked-2026-midterms-lot-political-spending-future/story?id=121992082,ABC News
48,2025-05-20T16:56:23Z,Musk commits to staying Tesla CEO for another five years,"Elon Musk has claimed a turnaround in Tesla's sales after a slump, even as his internet service provider Starlink grows.",https://www.aljazeera.com/economy/2025/5/20/musk-commits-to-staying-tesla-ceo-for-another-five-years,Al Jazeera English
49,2025-05-21T06:28:09Z,South Africa's president heads to the White House. Can he charm Trump?,South African President Cyril Ramaphosa heads to the White House today for conciliatory talks with one of his country's most persistent critics: President Trump.,https://www.npr.org/2025/05/21/nx-s1-5404667/south-africa-white-house-visit-ramaphosa-trump-tensions,NPR
50,2025-05-25T10:01:01Z,Why can't we let Taylor Swift take a vacation?,"Critics and Swifties alike have questioned Taylor Swift's hiatus, fueling debates over work-life balance.",https://www.businessinsider.com/where-is-taylor-swift-2025-5,Business Insider
51,2025-05-20T13:30:01Z,Silicon Valley used to idolize youth. AI is changing that.,"Silicon Valley's youth-centric hiring myth is fading as AI drives more demand for experienced talent, according to new data from SignalFire.",https://www.businessinsider.com/silicon-valley-idolize-youth-ai-changing-tech-hiring-signalfire-genz-2025-5,Business Insider
